task_name,author_name,author_email,author_github_handle,pr_number,estimated time for a human to complete the task (in minutes)
latex-formula-extraction,Alex Thompson,contributor01@skillsbench.test,contributor-01,87,30
organize-messy-files,Alex Thompson,contributor01@skillsbench.test,contributor-01,157,45
quantum-numerical-simulation,Alex Thompson,contributor01@skillsbench.test,contributor-01,116,300
citation-check,Michael Chen,contributor02@skillsbench.test,contributor-02,61,120
econ-detrending-correlation,Michael Chen,contributor02@skillsbench.test,contributor-02,49,240
pdf-excel-diff,Michael Chen,contributor02@skillsbench.test,contributor-02,37,120
earthquake-phase-association,David Park,contributor03@skillsbench.test,contributor-03,394,360
seismic-phase-picking,David Park,contributor03@skillsbench.test,contributor-03,549,240
earthquake-plate-calculation,James Wilson,contributor04@skillsbench.test,contributor-04,389,120
software-dependency-audit,James Wilson,contributor04@skillsbench.test,contributor-04,560,120
reserves-at-risk-calc,Emily Rodriguez,contributor05@skillsbench.test,contributor-05,465,200
shock-analysis-demand,Emily Rodriguez,contributor05@skillsbench.test,contributor-05,467,480
shock-analysis-supply,Emily Rodriguez,contributor05@skillsbench.test,contributor-05,468,480
adaptive-cruise-control,Ryan Martinez,contributor06@skillsbench.test,contributor-06,253,1800
hvac-control,Ryan Martinez,contributor06@skillsbench.test,contributor-06,252,2400
r2r-mpc-control,Ryan Martinez,contributor06@skillsbench.test,contributor-06,254,2400
travel-planning,Kevin Brown,contributor07@skillsbench.test,contributor-07,7,30
taxonomy-tree-merge,Daniel Lee,contributor08@skillsbench.test,contributor-08,570,4800
trend-anomaly-causal-inference,Daniel Lee,contributor08@skillsbench.test,contributor-08,372,2400
pptx-reference-formatting,Chris Taylor,contributor09@skillsbench.test,contributor-09,317,10
enterprise-information-search,Sophia Johnson,contributor10@skillsbench.test,contributor-10,269,90
financial-modeling-qa,Sophia Johnson,contributor10@skillsbench.test,contributor-10,261,240
simpo-code-reproduction,Sophia Johnson,contributor10@skillsbench.test,contributor-10,267,180
jax-computing-basics,Tom Smith,contributor11@skillsbench.test,contributor-11,530,200
pddl-tpp-planning,Tom Smith,contributor11@skillsbench.test,contributor-11,,200
virtualhome-agent-planning,Tom Smith,contributor11@skillsbench.test,contributor-11,530,200
azure-bgp-oscillation-route-leak,Laura Williams,contributor12@skillsbench.test,contributor-12,288,60
court-form-filling,Laura Williams,contributor12@skillsbench.test,contributor-12,270,15
data-to-d3,Laura Williams,contributor12@skillsbench.test,contributor-12,205,90
crystallographic-wyckoff-position-analysis,Nathan Clark,contributor13@skillsbench.test,contributor-13,218,120
find-topk-similiar-chemicals,Nathan Clark,contributor13@skillsbench.test,contributor-13,145,120
fix-visual-stability,Sam Cohen,contributor14@skillsbench.test,contributor-14,464,4000
react-performance-debugging,Sam Cohen,contributor14@skillsbench.test,contributor-14,463,4000
sales-pivot-analysis,Sam Cohen,contributor14@skillsbench.test,contributor-14,165,30
parallel-tfidf-search,Peter Jackson,contributor15@skillsbench.test,contributor-15,245,600
python-scala-translation,Peter Jackson,contributor15@skillsbench.test,contributor-15,156,300
spring-boot-jakarta-migration,Peter Jackson,contributor15@skillsbench.test,contributor-15,289,2400
protein-expression-analysis,Marcus Hill,contributor16@skillsbench.test,contributor-16,27,90
dapt-intrusion-detection,Eric Foster,contributor17@skillsbench.test,contributor-17,203,2400
suricata-custom-exfil,Eric Foster,contributor17@skillsbench.test,contributor-17,91,300
syzkaller-ppdev-syzlang,Eric Foster,contributor17@skillsbench.test,contributor-17,96,1200
xlsx-recover-data,Eric Foster,contributor17@skillsbench.test,contributor-17,407,60
dynamic-object-aware-egomotion,Claire Anderson,contributor18@skillsbench.test,contributor-18,237,210
multilingual-video-dubbing,Claire Anderson,contributor18@skillsbench.test,contributor-18,238,150
speaker-diarization-subtitles,Claire Anderson,contributor18@skillsbench.test,contributor-18,234,300
exoplanet-detection-period,Brian Harrison,contributor19@skillsbench.test,contributor-19,131,60
gravitational-wave-detection,Brian Harrison,contributor19@skillsbench.test,contributor-19,572,60
mars-clouds-clustering,Brian Harrison,contributor19@skillsbench.test,contributor-19,294,100
dialogue-parser,Nicole Watson,contributor20@skillsbench.test,contributor-20,243,60
civ6-adjacency-optimizer,Vincent Miller,contributor21@skillsbench.test,contributor-21,392,1800
manufacturing-codebook-normalization,Amy Davis,contributor22@skillsbench.test,contributor-22,370,180
manufacturing-equipment-maintenance,Amy Davis,contributor22@skillsbench.test,contributor-22,136,180
manufacturing-fjsp-optimization,Amy Davis,contributor22@skillsbench.test,contributor-22,47,60
energy-ac-optimal-power-flow,Robert Chen,contributor23@skillsbench.test,contributor-23,507,1440
energy-market-pricing,Robert Chen,contributor23@skillsbench.test,contributor-23,163,1200
grid-dispatch-operator,Robert Chen,contributor23@skillsbench.test,contributor-23,108,960
3d-scan-calc,Frank Stevens,contributor24@skillsbench.test,contributor-24,73,60
invoice-fraud-detection,Frank Stevens,contributor24@skillsbench.test,contributor-24,105,60
weighted-gdp-calc,Lisa Chen,contributor25@skillsbench.test,contributor-25,,45
flood-risk-analysis,Sandra Moore,contributor26@skillsbench.test,contributor-26,46,120
glm-lake-mendota,Sandra Moore,contributor26@skillsbench.test,contributor-26,427,120
lake-warming-attribution,Sandra Moore,contributor26@skillsbench.test,contributor-26,428,240
exceltable-in-ppt,Jennifer White,contributor27@skillsbench.test,contributor-27,138,10
fix-druid-loophole-cve,Jennifer White,contributor27@skillsbench.test,contributor-27,494,45
scheduling-email-assistant,Jennifer White,contributor27@skillsbench.test,contributor-27,99,10
mario-coin-counting,Patrick Green,contributor28@skillsbench.test,contributor-28,139,10
sec-financial-report,Patrick Green,contributor28@skillsbench.test,contributor-28,264,45
fix-build-agentops,Andrew Kim,contributor29@skillsbench.test,contributor-29,114,180
fix-build-google-auto,Andrew Kim,contributor29@skillsbench.test,contributor-29,88,220
powerlifting-coef-calc,Andrew Kim,contributor29@skillsbench.test,contributor-29,133,30
